Action,Input,Expected result,Group
<p>Tải trang cấu hình phòng (Rooms Configuration) trên Desktop</p>,<p>Feature Flag cho UI mới (YR-27535) là <strong>ON</strong>. Người dùng chưa cấu hình bất kỳ phòng nào và chưa lưu bước này.</p>,"<ol><li>Các trường <strong>'Number of bedrooms'</strong> và <strong>'Number of bathrooms'</strong> không hiển thị.</li><li>Section Bedrooms hiển thị nút <strong>'Add bedroom'</strong>.</li><li>Section Bathrooms hiển thị nút <strong>'Add bathroom'</strong>.</li><li>Section Kitchens hiển thị nút <strong>'Add kitchen'</strong>.</li><li>Các nút hành động chính (<strong>Save changes</strong>, <strong>Save and continue</strong>) được bật (enabled).</li></ol>",Tải Trang Ban Đầu & Trạng Thái Mặc Định (Desktop)
<p>Kiểm tra cơ chế khóa (locking mechanism) trên Desktop khi mở form inline</p>,<p>Click <strong>'Add bedroom'</strong> để mở form inline cấu hình phòng ngủ.</p>,"<ol><li>Nút <strong>'Add bedroom'</strong> bị ẩn đi.</li><li>Form cấu hình phòng ngủ hiển thị <strong>inline</strong> tại vị trí đó.</li><li>Tất cả các nút hành động chính (<strong>Save changes</strong>, <strong>Save and continue</strong>) chuyển sang trạng thái <strong>Disabled</strong>.</li><li>Nếu có phòng khác tồn tại, các nút <strong>'Complete/Edit'</strong> trên các card phòng khác cũng bị <strong>Disabled</strong>.</li></ol>",Chuyển Đổi Trạng Thái UI & Khóa Hành Động
<p>Kiểm tra cảnh báo điều hướng (Dirty State) với thay đổi chưa lưu</p>,<ol><li>Mở form inline Bathroom trên Desktop.</li><li>Nhập dữ liệu hợp lệ nhưng chưa click 'Add'/'Update'.</li><li>Thoát khỏi trang bằng cách đóng tab hoặc điều hướng đến trang khác.</li></ol>,<p>Trình duyệt hiển thị modal cảnh báo native: <strong>'Changes you made may not be saved'</strong>.</p>,Xử Lý Dirty State & Điều Hướng
<p>Xác thực thông báo trạng thái trống sau khi lưu lần đầu</p>,<p>Người dùng click <strong>'Save changes'</strong> khi không có Bedroom nào được cấu hình.</p>,<ol><li>Lưu thành công (hoặc thông báo lỗi Validation của bước nếu các trường khác bắt buộc).</li><li>Section Bedrooms hiển thị thông báo lỗi: <strong>'Add at least 1 bedroom'</strong>.</li></ol>,Xác Thực Trạng Thái Lỗi
<p>Mở form cấu hình phòng ngủ và kiểm tra mặc định</p>,<p>Click <strong>'Add bedroom'</strong>.</p>,"<ol><li>Trường <strong>'Bedroom type'</strong> mặc định được chọn là <strong>'Bedroom'</strong>.</li><li>Trường <strong>'What beds are in this room'</strong> mặc định là <strong>không có giường nào được chọn</strong>.</li><li>Chỉ hiển thị 4 tùy chọn giường đầu tiên: <strong>Single bed (adult), Double bed, Queen-sized bed, King-sized bed</strong>.</li><li>Nút <strong>'Show more bed options'</strong> hiển thị.</li></ol>",Giá Trị Mặc Định & Điền Sẵn - Bedroom
<p>Kiểm tra logic hiển thị/ẩn tùy chọn giường</p>,<ol><li>Mở form cấu hình phòng ngủ.</li><li>Click <strong>'Show more bed options'</strong>.</li><li>Click <strong>'Show less bed options'</strong>.</li></ol>,"<ol><li>Sau khi click 'Show more', tất cả 8 tùy chọn giường hiển thị.</li><li>Sau khi click 'Show less', chỉ còn 4 tùy chọn giường đầu tiên hiển thị.</li></ol>",Logic Hiển Thị UI - Bedroom
<p>Xác thực lỗi khi thiếu loại giường (trường bắt buộc)</p>,<ol><li>Mở form Add bedroom.</li><li>Không chọn loại giường nào.</li><li>Click nút <strong>'Add'</strong>.</li></ol>,<ol><li>Form vẫn mở.</li><li>Thông báo lỗi hiển thị dưới trường 'What beds are in this room': <strong>'Select at least one bed type.'</strong></li></ol>,Xác Thực Đầu Vào - Bedroom
<p>Thêm thành công một phòng ngủ và xác thực thứ tự hiển thị giường</p>,"<ol><li>Mở form Add bedroom.</li><li>Chọn <strong>1 Bunk-bed, 1 King-sized bed, 2 Single beds (adult)</strong>.</li><li>Click <strong>'Add'</strong>.</li></ol>","<ol><li>Form đóng/bottom sheet đóng.</li><li>Card phòng ngủ mới hiển thị với tên: 'Bedroom 1'.</li><li>Thông tin giường hiển thị: <strong>'2 Single beds (adult), 1 King-sized bed, 1 Bunk-bed'</strong> (Xác nhận thứ tự theo quy tắc: Single (adult) > King > Bunk).</li><li>Nhãn <strong>'Add details'</strong> được thay thế bằng danh sách giường.</li><li>Nút <strong>'Complete'</strong> được thay thế bằng biểu tượng <strong>Edit</strong>.</li></ol>",Luồng Thành Công - Bedroom
<p>Kiểm tra trạng thái lỗi khi phòng ngủ thiếu dữ liệu sau khi lưu bước</p>,"<ol><li>Thêm 1 Bedroom (Bedroom A) với dữ liệu đầy đủ.</li><li>Thêm 1 Bedroom (Bedroom B) nhưng không chọn giường, và lưu bước (Save changes).</li><li>Sửa Bedroom B, chọn giường và click 'Update'.</li><li>Click <strong>'Save changes'</strong> (lần 2).</li></ol>",<ol><li>Trước khi Sửa B: Hiển thị lỗi chung dưới tiêu đề Bedrooms: <strong>'Please define bedroom facilities'</strong>.</li><li>Sau khi Sửa B và click 'Save changes' (lần 2): Thông báo lỗi chung biến mất.</li></ol>,Xác Thực Lỗi Sau Lưu
<p>Mở form cấu hình phòng tắm và kiểm tra giá trị mặc định</p>,<p>Click <strong>'Add bathroom'</strong>.</p>,<ol><li>Trường <strong>'Is the bathroom private?'</strong> mặc định là <strong>'Yes'</strong>.</li><li>Trường <strong>'What type of bathroom is it?'</strong> mặc định là <strong>'Full bathroom'</strong>.</li><li>Trường <strong>'Is there a toilet?'</strong> mặc định là <strong>null</strong> (yêu cầu người dùng chọn).</li><li>Trường <strong>'Is there a shower?'</strong> mặc định là <strong>'No shower'</strong>.</li><li>Trường <strong>'Is there a bath?'</strong> mặc định là <strong>'No'</strong>.</li><li>Nút <strong>'Add'</strong> hiển thị.</li></ol>,Giá Trị Mặc Định & Điền Sẵn - Bathroom
<p>Xác thực lỗi khi thiếu các trường bắt buộc trong form Bathroom</p>,"<ol><li>Mở form Add bathroom.</li><li>Để trống 'Is there a toilet?' (chọn null).</li><li>Để trống 'Is there a shower?' (chọn No shower - đây là mặc định, nhưng trường này phải được chọn rõ ràng nếu nó là required field, kiểm tra xem người dùng có cần tương tác không). Giả sử người dùng phải chọn cả 5 trường.</li><li>Click <strong>'Add'</strong>.</li></ol>",<ol><li>Form vẫn mở.</li><li>Thông báo lỗi hiển thị cho trường 'Is there a toilet?' và các trường bắt buộc khác bị thiếu.</li><li>Database không được cập nhật.</li></ol>,Xác Thực Đầu Vào - Bathroom (Negative)
<p>Kiểm tra logic 'En-suite bathroom' khi chưa có Bedroom nào</p>,<ol><li>Chưa có Bedroom nào được cấu hình.</li><li>Mở form Add bathroom.</li><li>Đảm bảo 'Is the bathroom private?' = 'Yes' (mặc định).</li></ol>,<ol><li>Tùy chọn <strong>'En-suite bathroom'</strong> bị <strong>Disabled</strong> trong 'What type of bathroom is it?'.</li><li>Hiển thị banner thông tin: <strong>'You need to add bedrooms in order to create an en-suite bathroom.'</strong></li></ol>,Xác Thực Quy Tắc Nghiệp Vụ - En-suite Logic (Negative)
